,publisher,genres,app_name,title,release_date,price,id,developer,year
37,Apillo,Simulation,The first thrust of God,The first thrust of God,2018-01-03,1.59,773650,Apillo,2018
38,Apillo,Strategy,The first thrust of God,The first thrust of God,2018-01-03,1.59,773650,Apillo,2018
39,Tero Lunkka,Action,The Warrior Of Treasures,The Warrior Of Treasures,2018-01-03,0.99,768060,Tero Lunkka,2018
40,Tero Lunkka,Adventure,The Warrior Of Treasures,The Warrior Of Treasures,2018-01-03,0.99,768060,Tero Lunkka,2018
41,Tero Lunkka,Indie,The Warrior Of Treasures,The Warrior Of Treasures,2018-01-03,0.99,768060,Tero Lunkka,2018
42,FrozenPepper,Racing,RC Plane 3 - Canyon Scenario,RC Plane 3 - Canyon Scenario,2017-12-22,2.99,775880,FrozenPepper,2017
43,FrozenPepper,Simulation,RC Plane 3 - Canyon Scenario,RC Plane 3 - Canyon Scenario,2017-12-22,2.99,775880,FrozenPepper,2017
44,FrozenPepper,Sports,RC Plane 3 - Canyon Scenario,RC Plane 3 - Canyon Scenario,2017-12-22,2.99,775880,FrozenPepper,2017
45,Casey Labrack,Action,DinoBlaster,DinoBlaster,2018-01-03,4.99,653960,Casey Labrack,2018
46,Casey Labrack,Indie,DinoBlaster,DinoBlaster,2018-01-03,4.99,653960,Casey Labrack,2018
47,Stainless Games Ltd,Action,Carmageddon Max Pack,Carmageddon Max Pack,1997-06-30,9.99,282010,Stainless Games Ltd,1997
48,Stainless Games Ltd,Indie,Carmageddon Max Pack,Carmageddon Max Pack,1997-06-30,9.99,282010,Stainless Games Ltd,1997
49,Stainless Games Ltd,Racing,Carmageddon Max Pack,Carmageddon Max Pack,1997-06-30,9.99,282010,Stainless Games Ltd,1997
50,Valve,Action,Half-Life,Half-Life,1998-11-08,9.99,70,Valve,1998
51,dev4play,Action,Fallen Mage,Fallen Mage,2016-11-25,1.99,752360,dev4play,2016
52,dev4play,Indie,Fallen Mage,Fallen Mage,2016-11-25,1.99,752360,dev4play,2016
53,dev4play,RPG,Fallen Mage,Fallen Mage,2016-11-25,1.99,752360,dev4play,2016
54,ETGgames,Casual,Vaporwave Simulator,Vaporwave Simulator,2018-01-01,0.99,766850,ETGgames,2018
55,ETGgames,Indie,Vaporwave Simulator,Vaporwave Simulator,2018-01-01,0.99,766850,ETGgames,2018
56,ETGgames,Simulation,Vaporwave Simulator,Vaporwave Simulator,2018-01-01,0.99,766850,ETGgames,2018
57,Cisamid Inc.,Adventure,Bitcoin Clicker,Bitcoin Clicker,2018-01-01,0.99,716110,"lalalaZero,Urbanoff",2018
58,Cisamid Inc.,Casual,Bitcoin Clicker,Bitcoin Clicker,2018-01-01,0.99,716110,"lalalaZero,Urbanoff",2018
59,Cisamid Inc.,Indie,Bitcoin Clicker,Bitcoin Clicker,2018-01-01,0.99,716110,"lalalaZero,Urbanoff",2018
60,Cisamid Inc.,RPG,Bitcoin Clicker,Bitcoin Clicker,2018-01-01,0.99,716110,"lalalaZero,Urbanoff",2018
61,Strategy First,Strategy,Disciples II: Gallean's Return,Disciples II: Gallean's Return,2006-07-06,6.99,1640,Strategy First,2006
62,Strategy First,Strategy,Disciples II: Rise of the Elves,Disciples II: Rise of the Elves,2006-07-06,6.99,1630,Strategy First,2006
63,Blazing Griffin Ltd.,Action,The Ship: Murder Party,The Ship: Murder Party,2006-07-11,9.99,2400,Outerlight Ltd.,2006
64,Blazing Griffin Ltd.,Indie,The Ship: Murder Party,The Ship: Murder Party,2006-07-11,9.99,2400,Outerlight Ltd.,2006
65,Blazing Griffin Ltd.,RPG,The Ship: Murder Party,The Ship: Murder Party,2006-07-11,9.99,2400,Outerlight Ltd.,2006
66,Ultraint,Action,Souland,Souland,2017-12-29,7.99,759920,Ultraint,2017
67,Ultraint,Indie,Souland,Souland,2017-12-29,7.99,759920,Ultraint,2017
68,Ultraint,Strategy,Souland,Souland,2017-12-29,7.99,759920,Ultraint,2017
69,Ultraint,Early Access,Souland,Souland,2017-12-29,7.99,759920,Ultraint,2017
70,TPM.CO SOFT WORKS,Action,TAROTICA VOO DOO,TAROTICA VOO DOO,2017-12-29,10.99,603280,TPM.CO SOFT WORKS,2017
71,TPM.CO SOFT WORKS,Adventure,TAROTICA VOO DOO,TAROTICA VOO DOO,2017-12-29,10.99,603280,TPM.CO SOFT WORKS,2017
72,TPM.CO SOFT WORKS,Indie,TAROTICA VOO DOO,TAROTICA VOO DOO,2017-12-29,10.99,603280,TPM.CO SOFT WORKS,2017
73,TPM.CO SOFT WORKS,RPG,TAROTICA VOO DOO,TAROTICA VOO DOO,2017-12-29,10.99,603280,TPM.CO SOFT WORKS,2017
74,Wonderbox Games,Casual,Chronicles of Vinland,Chronicles of Vinland,2017-12-29,9.99,753110,Wonderbox Games,2017
75,Wonderbox Games,Strategy,Chronicles of Vinland,Chronicles of Vinland,2017-12-29,9.99,753110,Wonderbox Games,2017
76,Wonderbox Games,Early Access,Chronicles of Vinland,Chronicles of Vinland,2017-12-29,9.99,753110,Wonderbox Games,2017
77,Majesco,Action,Advent Rising,Advent Rising,2005-08-09,9.99,3800,GlyphX Games,2005
78,Introversion Software,Indie,DEFCON,DEFCON,2006-09-29,9.99,1520,Introversion Software,2006
79,Introversion Software,Strategy,DEFCON,DEFCON,2006-09-29,9.99,1520,Introversion Software,2006
80,Blazing Griffin Ltd.,Action,The Ship: Single Player,The Ship: Single Player,2006-11-20,9.99,2420,Outerlight Ltd.,2006
81,Blazing Griffin Ltd.,Indie,The Ship: Single Player,The Ship: Single Player,2006-11-20,9.99,2420,Outerlight Ltd.,2006
82,Blazing Griffin Ltd.,RPG,The Ship: Single Player,The Ship: Single Player,2006-11-20,9.99,2420,Outerlight Ltd.,2006
83,Valve,Indie,Garry's Mod,Garry's Mod,2006-11-29,9.99,4000,Facepunch Studios,2006
84,Valve,Simulation,Garry's Mod,Garry's Mod,2006-11-29,9.99,4000,Facepunch Studios,2006
85,SimBin,Racing,RACE - The WTCC Game,RACE - The WTCC Game,2006-11-24,39.99,4230,SimBin,2006
86,Unknown Worlds Entertainment,Casual,Zen of Sudoku,Zen of Sudoku,2006-12-14,Free,4900,Unknown Worlds Entertainment,2006
87,Unknown Worlds Entertainment,Indie,Zen of Sudoku,Zen of Sudoku,2006-12-14,Free,4900,Unknown Worlds Entertainment,2006
88,"CINEMAX, s.r.o.",Casual,Gumboy - Crazy Adventures™,Gumboy - Crazy Adventures™,2006-12-19,4.99,2520,"CINEMAX, s.r.o.",2006
89,"CINEMAX, s.r.o.",Indie,Gumboy - Crazy Adventures™,Gumboy - Crazy Adventures™,2006-12-19,4.99,2520,"CINEMAX, s.r.o.",2006
90,Strategy First,Strategy,Ghost Master®,Ghost Master®,2003-08-23,4.99,6200,Sick Puppies,2003
91,Strategy First,Strategy,Vegas: Make It Big™,Vegas: Make It Big™,2006-12-21,4.99,6210,Deepred,2006
92,Funcom,Adventure,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey,2006-04-17,19.99,6300,Funcom,2006
93,Funcom,RPG,Dreamfall: The Longest Journey,Dreamfall: The Longest Journey,2006-04-17,19.99,6300,Funcom,2006
94,Strategy First,Racing,FlatOut 2™,FlatOut 2™,2006-08-01,9.99,2990,Bugbear Entertainment,2006
95,Strategy First,Racing,FlatOut,FlatOut,2005-07-12,7.49,6220,Bugbear Entertainment,2005
96,Capcom,Action,Lost Planet™: Extreme Condition,Lost Planet™: Extreme Condition,2007-06-26,14.99,6510,"CAPCOM Co., Ltd.",2007
97,Capcom,Adventure,Lost Planet™: Extreme Condition,Lost Planet™: Extreme Condition,2007-06-26,14.99,6510,"CAPCOM Co., Ltd.",2007
98,2K Games,Strategy,CivCity: Rome,CivCity: Rome,2006-07-24,9.99,3980,"FireFly Studios,Firaxis Games",2006
99,Arkane Studios,RPG,Arx Fatalis,Arx Fatalis,2002-11-12,4.99,1700,Arkane Studios,2002
100,Funcom,Action,The Longest Journey,The Longest Journey,2000-11-17,9.99,6310,Funcom,2000
101,Funcom,Adventure,The Longest Journey,The Longest Journey,2000-11-17,9.99,6310,Funcom,2000
102,Funcom,RPG,The Longest Journey,The Longest Journey,2000-11-17,9.99,6310,Funcom,2000
103,2K Games,Strategy,Civilization IV®: Warlords,Civilization IV®: Warlords,2006-07-24,4.99,3990,Firaxis Games,2006
104,2K Games,Strategy,Railroad Tycoon 3,Railroad Tycoon 3,2003-10-23,9.99,7610,PopTop,2003
105,"2K Games, Feral Interactive (Mac)",Strategy,Sid Meier's Railroads!,Sid Meier's Railroads!,2006-10-16,9.99,7600,"Firaxis Games,Feral Interactive (Mac)",2006
106,2K Games,Strategy,Railroad Tycoon II Platinum,Railroad Tycoon II Platinum,1998-10-31,4.99,7620,PopTop,1998
107,2K Games,Strategy,X-COM: Terror From the Deep,X-COM: Terror From the Deep,1995-04-01,4.99,7650,"MicroProse Software, Inc",1995
108,"Square Enix, Feral Interactive (Mac)",Action,Tomb Raider: Anniversary,Tomb Raider: Anniversary,2007-06-05,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)",2007
109,"Square Enix, Feral Interactive (Mac)",Adventure,Tomb Raider: Anniversary,Tomb Raider: Anniversary,2007-06-05,8.99,8000,"Crystal Dynamics,Feral Interactive (Mac)",2007
110,Capcom,Action,Devil May Cry® 3 Special Edition,Devil May Cry® 3 Special Edition,2006-05-23,19.99,6550,"CAPCOM Co., Ltd.",2006
111,Telltale Games,Action,Sam & Max 101: Culture Shock,Sam &amp; Max 101: Culture Shock,2006-10-17,19.99,8200,Telltale Games,2006
112,Telltale Games,Adventure,Sam & Max 101: Culture Shock,Sam &amp; Max 101: Culture Shock,2006-10-17,19.99,8200,Telltale Games,2006
113,id Software,Action,Final DOOM,Final DOOM,1996-06-17,4.99,2290,id Software,1996
114,Telltale Games,Action,Sam & Max 102: Situation: Comedy,Sam &amp; Max 102: Situation: Comedy,2006-12-20,19.99,8210,Telltale Games,2006
115,Telltale Games,Adventure,Sam & Max 102: Situation: Comedy,Sam &amp; Max 102: Situation: Comedy,2006-12-20,19.99,8210,Telltale Games,2006
116,id Software,Action,Ultimate Doom,Ultimate Doom,1995-04-30,4.99,2280,id Software,1995
117,id Software,Action,Master Levels for Doom II,Master Levels for Doom II,1995-06-01,14.99,9160,id Software,1995
118,id Software,Action,DOOM II,DOOM II,1994-05-05,4.99,2300,id Software,1994
119,id Software,Action,Wolfenstein 3D,Wolfenstein 3D,1994-08-03,4.99,2270,id Software,1994
120,id Software,Action,Return to Castle Wolfenstein,Return to Castle Wolfenstein,2001-11-20,4.99,9010,Gray Matter Studios,2001
121,id Software,Action,QUAKE Mission Pack 1: Scourge of Armagon,QUAKE Mission Pack 1: Scourge of Armagon,1997-02-28,2.99,9040,Ritual Entertainment,1997
122,id Software,Action,Spear of Destiny,Spear of Destiny,1993-10-10,2.99,9000,id Software,1993
123,Majesco,Action,BloodRayne,BloodRayne,2003-09-09,9.99,3810,Terminal Reality,2003
124,id Software,Action,QUAKE Mission Pack 2: Dissolution of Eternity,QUAKE Mission Pack 2: Dissolution of Eternity,2007-08-03,2.99,9030,Rogue Entertainment,2007
125,id Software,Action,QUAKE,QUAKE,2007-05-31,4.99,2310,id Software,2007
126,THQ Nordic,Strategy,Genesis Rising,Genesis Rising,2007-03-20,4.99,3230,Metamorf,2007
127,SEGA,Strategy,"Warhammer® 40,000: Dawn of War® – Winter Assault","Warhammer® 40,000: Dawn of War® – Winter Assault",2006-01-01,12.99,9310,Relic Entertainment,2006
128,2K Games,Action,BioShock™,BioShock™,2007-08-21,19.99,7670,"2K Boston,2K Australia",2007
129,2K Games,RPG,BioShock™,BioShock™,2007-08-21,19.99,7670,"2K Boston,2K Australia",2007
130,SEGA,Strategy,"Warhammer® 40,000: Dawn of War® - Game of the Year Edition","Warhammer® 40,000: Dawn of War® - Game of the Year Edition",2006-01-01,12.99,4570,Relic Entertainment,2006
131,SEGA,Strategy,"Warhammer® 40,000: Dawn of War® - Dark Crusade","Warhammer® 40,000: Dawn of War® - Dark Crusade",2006-10-09,12.99,4580,Relic Entertainment,2006
132,SEGA,Strategy,Rome: Total War™ - Collection,Rome: Total War™ - Collection,2004-09-22,9.99,4760,The Creative Assembly,2004
133,SEGA,Strategy,Rome: Total War™ - Alexander,Rome: Total War™ - Alexander,2006-06-26,4.99,4770,The Creative Assembly,2006
134,Big Fish Games,Casual,Mystery Case Files: Madame Fate®,Mystery Case Files: Madame Fate®,2007-12-14,6.99,50970,Big Fish Games,2007
135,Rockstar Games,Action,Manhunt,Manhunt,2004-04-20,9.99,12130,Rockstar North,2004
136,Rockstar Games,Racing,Midnight Club 2,Midnight Club 2,2003-07-01,9.99,12160,Rockstar San Diego,2003
137,Rockstar Games,Action,Max Payne 2: The Fall of Max Payne,Max Payne 2: The Fall of Max Payne,2003-10-14,9.99,12150,Remedy Entertainment,2003
138,Square Enix,Action,Tomb Raider: Legend,Tomb Raider: Legend,2006-04-07,6.99,7000,Crystal Dynamics,2006
139,Square Enix,Adventure,Tomb Raider: Legend,Tomb Raider: Legend,2006-04-07,6.99,7000,Crystal Dynamics,2006
140,Rockstar Games,Action,Max Payne,Max Payne,2001-07-25,9.99,12140,Remedy Entertainment,2001
141,Electronic Arts,Strategy,Command & Conquer: Red Alert 3,Command &amp; Conquer: Red Alert 3,2008-10-28,19.99,17480,EA Los Angeles,2008
142,"D3Publisher of America, Inc.",Casual,PuzzleQuest: Challenge of the Warlords,PuzzleQuest: Challenge of the Warlords,2007-10-10,9.99,12500,Infinite Interactive,2007
143,Strategy First,RPG,Culpa Innata,Culpa Innata,2007-10-23,9.99,12310,Momentum Digital Media Technologies,2007
144,Strategy First,Casual,Culpa Innata,Culpa Innata,2007-10-23,9.99,12310,Momentum Digital Media Technologies,2007
145,Strategy First,Adventure,Culpa Innata,Culpa Innata,2007-10-23,9.99,12310,Momentum Digital Media Technologies,2007
146,"ValuSoft, Retroism",Strategy,Prison Tycoon 3™: Lockdown,Prison Tycoon 3™: Lockdown,2007-08-01,9.99,12510,"Gamebryo,Virtual Playground",2007
147,"ValuSoft, Retroism",Action,Hunting Unlimited™ 2008,Hunting Unlimited™ 2008,2007-09-01,9.99,12530,SCS Software,2007
148,"ValuSoft, Retroism",Adventure,Hunting Unlimited™ 2008,Hunting Unlimited™ 2008,2007-09-01,9.99,12530,SCS Software,2007
149,"ValuSoft, Retroism",Strategy,Hunting Unlimited™ 2008,Hunting Unlimited™ 2008,2007-09-01,9.99,12530,SCS Software,2007
150,"ValuSoft, Retroism",Racing,18 Wheels of Steel: American Long Haul,18 Wheels of Steel: American Long Haul,2007-12-03,9.99,12520,SCS Software,2007
151,Square Enix,Action,Conflict: Denied Ops,Conflict: Denied Ops,2008-02-08,5.99,8100,Pivotal Games,2008
152,Bohemia Interactive,Action,ARMA: Combat Operations,ARMA: Combat Operations,2007-05-08,7.99,2780,Bohemia Interactive,2007
153,THQ Nordic,Action,Desperados 2: Cooper's Revenge,Desperados 2: Cooper's Revenge,2006-05-02,9.99,9710,Spellbound,2006
154,1C Company,Action,Death to Spies,Death to Spies,2007-10-16,4.99,9800,Haggard Games,2007
155,1C Company,Adventure,Death to Spies,Death to Spies,2007-10-16,4.99,9800,Haggard Games,2007
156,Atari,Action,Act of War: High Treason,Act of War: High Treason,2006-05-30,2.99,9760,Eugen Systems,2006
157,"Atari, Aspyr (Mac)",Simulation,RollerCoaster Tycoon® 3: Platinum,RollerCoaster Tycoon® 3: Platinum,2006-10-26,19.99,2700,"Frontier,Aspyr (Mac)",2006
158,"Atari, Aspyr (Mac)",Strategy,RollerCoaster Tycoon® 3: Platinum,RollerCoaster Tycoon® 3: Platinum,2006-10-26,19.99,2700,"Frontier,Aspyr (Mac)",2006
159,"Epic Games, Inc.",Action,Unreal 2: The Awakening,Unreal 2: The Awakening,2003-02-03,14.99,13200,"Epic Games, Inc.",2003
160,"Epic Games, Inc.",Action,Unreal Gold,Unreal Gold,1998-04-30,9.99,13250,"Epic Games, Inc.",1998
161,Nunchuck Games,Casual,Ninja Reflex: Steamworks Edition,Ninja Reflex: Steamworks Edition,2008-03-21,4.99,13000,Sanzaru Games,2008
162,Nunchuck Games,Indie,Ninja Reflex: Steamworks Edition,Ninja Reflex: Steamworks Edition,2008-03-21,4.99,13000,Sanzaru Games,2008
163,Ubisoft,Action,Tom Clancy's Splinter Cell®,Tom Clancy's Splinter Cell®,2003-02-18,9.99,13560,Ubisoft,2003
164,Ubisoft,Action,Far Cry®,Far Cry®,2004-03-23,9.99,13520,Crytek Studios,2004
165,"Epic Games, Inc.",Action,Unreal Tournament: Game of the Year Edition,Unreal Tournament: Game of the Year Edition,2000-10-25,9.99,13240,"Epic Games, Inc.",2000
166,Ubisoft,Action,Tom Clancy's Rainbow Six® Vegas,Tom Clancy's Rainbow Six® Vegas,2006-12-12,9.99,13540,Ubisoft Montreal,2006
167,Ubisoft,Simulation,Silent Hunter® III,Silent Hunter® III,2005-03-15,9.99,15210,Ubisoft,2005
168,Last Day of Work,Casual,Virtual Villagers - The Secret City,Virtual Villagers - The Secret City,2008-05-28,9.99,16180,Last Day of Work,2008
169,Last Day of Work,Simulation,Virtual Villagers - The Secret City,Virtual Villagers - The Secret City,2008-05-28,9.99,16180,Last Day of Work,2008
170,MumboJumbo,Casual,Luxor,Luxor,2008-06-10,9.99,15970,MumboJumbo,2008
171,MumboJumbo,Casual,Reaxxion,Reaxxion,2008-06-10,9.99,15950,MumboJumbo,2008
172,MumboJumbo,Casual,Little Farm,Little Farm,2008-06-10,9.99,15960,MumboJumbo,2008
173,MumboJumbo,Casual,7 Wonders II,7 Wonders II,2008-06-10,9.99,15900,MumboJumbo,2008
174,MumboJumbo,Casual,Luxor Amun Rising,Luxor Amun Rising,2005-12-08,9.99,15910,MumboJumbo,2005
175,MumboJumbo,Casual,Luxor 3,Luxor 3,2007-11-13,9.99,15930,MumboJumbo,2007
176,Ubisoft,Simulation,Petz® Horsez® 2,Petz® Horsez® 2,2007-11-13,9.99,15160,Ubisoft,2007
177,Ubisoft,Action,Rayman Raving Rabbids™,Rayman Raving Rabbids™,2007-03-27,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",2007
178,Ubisoft,Adventure,Rayman Raving Rabbids™,Rayman Raving Rabbids™,2007-03-27,9.99,15080,"Ubisoft Bulgaria,Ubisoft Montpellier",2007
179,Ubisoft,Simulation,Silent Hunter®: Wolves of the Pacific,Silent Hunter®: Wolves of the Pacific,2007-03-20,9.99,15200,Ubisoft Romania,2007
180,1C Online Games,Simulation,IL-2 Sturmovik: 1946,IL-2 Sturmovik: 1946,2006-12-15,9.99,15320,1C: Maddox Games,2006
181,Ubisoft,Simulation,Silent Hunter®: Wolves of the Pacific U-Boat Missions,Silent Hunter®: Wolves of the Pacific U-Boat Missions,2008-03-24,9.99,15240,Ubisoft Romania,2008
182,Telltale Games,Adventure,Bone: Out From Boneville,Bone: Out From Boneville,2005-09-15,9.99,8310,Telltale Games,2005
183,"ValuSoft, Retroism",Racing,Midnight Outlaw: 6 Hours to SunUp,Midnight Outlaw: 6 Hours to SunUp,2005-07-02,9.99,12600,"Merscom,Babylon",2005
184,"ValuSoft, Retroism",Simulation,Ride! Carnival Tycoon,Ride! Carnival Tycoon,2007-07-02,9.99,12560,Gabriel Entertainment,2007
185,Frogwares,Adventure,Dracula Origin,Dracula Origin,2008-05-20,9.99,11050,Frogwares,2008
186,Frogwares,Adventure,Sherlock Holmes - Nemesis,Sherlock Holmes - Nemesis,2008-04-14,9.99,11040,Frogwares,2008
187,Frogwares,RPG,Sherlock Holmes - Nemesis,Sherlock Holmes - Nemesis,2008-04-14,9.99,11040,Frogwares,2008
188,Silver Sphere Studios,Adventure,Eternity's Child,Eternity's Child,2008-07-31,4.99,19500,"Luc Bernard,SilverSphereStudios",2008
189,Silver Sphere Studios,Indie,Eternity's Child,Eternity's Child,2008-07-31,4.99,19500,"Luc Bernard,SilverSphereStudios",2008
190,Buka Entertainment,Simulation,Pacific Storm Allies,Pacific Storm Allies,2007-05-25,7.99,11260,Lesta Studio,2007
191,Buka Entertainment,Strategy,Pacific Storm Allies,Pacific Storm Allies,2007-05-25,7.99,11260,Lesta Studio,2007
192,Meridian4,Action,Tank Universal,Tank Universal,2008-08-21,4.99,19200,Dialogue Design,2008
193,Meridian4,Indie,Tank Universal,Tank Universal,2008-08-21,4.99,19200,Dialogue Design,2008
194,Strategy First,Racing,FlatOut: Ultimate Carnage,FlatOut: Ultimate Carnage,2008-08-19,19.99,12360,Bugbear Entertainment,2008
195,Oddworld Inhabitants,Adventure,Oddworld: Abe's Exoddus®,Oddworld: Abe's Exoddus®,1998-11-17,2.99,15710,Oddworld Inhabitants,1998
196,Oddworld Inhabitants,Adventure,Oddworld: Abe's Oddysee®,Oddworld: Abe's Oddysee®,1997-12-12,2.99,15700,Oddworld Inhabitants,1997
197,SimBin,Racing,GTR Evolution Expansion Pack for RACE 07,GTR Evolution Expansion Pack for RACE 07,2008-09-01,7.99,8660,SimBin,2008
198,2K Games,Strategy,X-COM: Enforcer,X-COM: Enforcer,2001-04-19,4.99,7770,"MicroProse Software, Inc",2001
199,2K Games,Strategy,X-COM: Apocalypse,X-COM: Apocalypse,1997-07-15,4.99,7660,"MicroProse Software, Inc",1997
200,2K Games,Strategy,X-COM: UFO Defense,X-COM: UFO Defense,1993-12-31,4.99,7760,"MicroProse Software, Inc",1993
201,GSC World Publishing,Action,S.T.A.L.K.E.R.: Clear Sky,S.T.A.L.K.E.R.: Clear Sky,2008-09-15,9.99,20510,GSC Game World,2008
202,GSC World Publishing,RPG,S.T.A.L.K.E.R.: Clear Sky,S.T.A.L.K.E.R.: Clear Sky,2008-09-15,9.99,20510,GSC Game World,2008
203,Electronic Arts,Action,Crysis Warhead®,Crysis Warhead®,2008-09-17,19.99,17330,Crytek,2008
204,Electronic Arts,Action,Crysis,Crysis,2007-11-13,19.99,17300,Crytek,2007
205,2K Games,Strategy,X-COM: Interceptor,X-COM: Interceptor,1998-06-15,4.99,7730,"MicroProse Software, Inc",1998
206,"CD PROJEKT RED, 1C-SoftClub",Action,The Witcher: Enhanced Edition Director's Cut,The Witcher: Enhanced Edition Director's Cut,2008-09-16,9.99,20900,CD PROJEKT RED,2008
